Data;Horário;id_time_mandantes;Em casa;Resultado;id_time_visitante;Visitante;Público;Local
28/09/2024;21:00;5;Botafogo (RJ);0–0;13;Grêmio;42,22;Estádio Nacional de Brasília
03/10/2024;19:00;7;Criciúma;2–0;2;Atlético Goianiense;12,343;Estádio Heriberto Hülse
03/10/2024;21:30;11;Fluminense;1–0;8;Cruzeiro;30,242;Estadio Jornalista Mário Filho
05/10/2024;16:30;17;Red Bull Bragantino;0–0;16;Palmeiras;9,989;Estádio Nabi Abi Chedid
05/10/2024;16:30;1;Athletico Paranaense;0–1;5;Botafogo (RJ);22,726;Ligga Arena
05/10/2024;16:30;3;Atlético Mineiro;2–2;20;Vitória;34,91;Arena MRV
05/10/2024;18:00 (19:00);9;Cuiabá;2–0;18;São Paulo;11,883;Arena Pantanal
05/10/2024;19:00;6;Corinthians;2–2;14;Internacional;44,866;Neo Química Arena
05/10/2024;19:00;4;Bahia;0–2;10;Flamengo;43,433;Itaipava Arena Fonte Nova
04/10/2024;21:30;13;Grêmio;3–1;12;Fortaleza;22,204;Arena do Grêmio
05/10/2024;21:00;19;Vasco da Gama;1–1;15;Juventude;18,036;Estádio Club de Regatas Vasco da Gama
09/10/2024;19:30;3;Atlético Mineiro;2–1;13;Grêmio;22,053;Arena MRV
17/10/2024;20:00;10;Flamengo;0–2;11;Fluminense;58,117;Estadio Jornalista Mário Filho
17/10/2024;20:00;6;Corinthians;5–2;1;Athletico Paranaense;44,399;Neo Química Arena
16/10/2024;21:45;18;São Paulo;3–0;19;Vasco da Gama;15,947;Estádio Brinco de Ouro da Princesa
16/10/2024;21:45;12;Fortaleza;1–1;3;Atlético Mineiro;23,046;Estádio Castelão
18/10/2024;19:00;2;Atlético Goianiense;0–0;9;Cuiabá;3,622;Estádio Antônio Accioly
18/10/2024;20:00;5;Botafogo (RJ);1–1;7;Criciúma;64,727;Estadio Jornalista Mário Filho
19/10/2024;16:00;20;Vitória;1–0;17;Red Bull Bragantino;25,189;Estádio Manoel Barradas
19/10/2024;16:00;14;Internacional;1–0;13;Grêmio;48,049;Estádio José Pinheiro Borba
18/10/2024;21:30;8;Cruzeiro;1–1;4;Bahia;34,473;Estádio Governador Magalhães Pinto
20/10/2024;20:00;15;Juventude;3–5;16;Palmeiras;10,102;Estádio Alfredo Jaconi
22/10/2024;19:30;11;Fluminense;1–0;1;Athletico Paranaense;39,465;Estadio Jornalista Mário Filho
24/10/2024;19:00;19;Vasco da Gama;1–0;9;Cuiabá;16,696;Estádio Club de Regatas Vasco da Gama
26/10/2024;16:30;20;Vitória;2–1;11;Fluminense;29,497;Estádio Manoel Barradas
26/10/2024;16:30;10;Flamengo;4–2;15;Juventude;65,7;Estadio Jornalista Mário Filho
26/10/2024;16:30;13;Grêmio;3–1;2;Atlético Goianiense;36,959;Arena do Grêmio
26/10/2024;16:30;16;Palmeiras;2–2;12;Fortaleza;40,321;Allianz Parque
26/10/2024;18:30;1;Athletico Paranaense;3–0;8;Cruzeiro;35,959;Ligga Arena
26/10/2024;19:00;3;Atlético Mineiro;1–3;14;Internacional;27,028;Arena MRV
26/10/2024;19:00;17;Red Bull Bragantino;0–1;5;Botafogo (RJ);7,4;Estádio Nabi Abi Chedid
26/10/2024;22:00;7;Criciúma;1–1;18;São Paulo;17,422;Estádio Heriberto Hülse
28/10/2024;18:00 (19:00);9;Cuiabá;0–1;6;Corinthians;16,68;Arena Pantanal
28/10/2024;21:00;19;Vasco da Gama;3–2;4;Bahia;17,213;Estádio Club de Regatas Vasco da Gama
30/10/2024;19:00;14;Internacional;1–1;10;Flamengo;43,729;Estádio José Pinheiro Borba
02/11/2024;16:00;17;Red Bull Bragantino;0–0;9;Cuiabá;4,103;Estádio Nabi Abi Chedid
02/11/2024;18:30;15;Juventude;0–3;12;Fortaleza;7,419;Estádio Alfredo Jaconi
02/11/2024;18:30;1;Athletico Paranaense;1–2;20;Vitória;40,666;Ligga Arena
01/11/2024;21:00;11;Fluminense;2–2;13;Grêmio;35,278;Estadio Jornalista Mário Filho
04/11/2024;20:00;6;Corinthians;2–0;16;Palmeiras;46,085;Neo Química Arena
05/11/2024;21:30;4;Bahia;0–3;18;São Paulo;29,599;Itaipava Arena Fonte Nova
05/11/2024;21:30;14;Internacional;2–0;7;Criciúma;29,097;Estádio José Pinheiro Borba
05/11/2024;21:30;5;Botafogo (RJ);3–0;19;Vasco da Gama;32,007;Estádio Nilton Santos
06/11/2024;21:00;2;Atlético Goianiense;1–0;3;Atlético Mineiro;3,791;Estádio Antônio Accioly
06/11/2024;21:00;8;Cruzeiro;0–1;10;Flamengo;20,855;Estádio Raimundo Sampaio
08/11/2024;19:00;14;Internacional;2–0;11;Fluminense;35,877;Estádio José Pinheiro Borba
09/11/2024;16:30;20;Vitória;1–2;6;Corinthians;30,973;Estádio Manoel Barradas
09/11/2024;16:30;5;Botafogo (RJ);0–0;9;Cuiabá;41,899;Estádio Nilton Santos
09/11/2024;19:00;8;Cruzeiro;2–1;7;Criciúma;29,287;Estádio Governador Magalhães Pinto
09/11/2024;19:00;12;Fortaleza;3–0;19;Vasco da Gama;45,271;Estádio Castelão
09/11/2024;19:00;2;Atlético Goianiense;0–0;17;Red Bull Bragantino;2,419;Estádio Antônio Accioly
09/11/2024;19:00;15;Juventude;2–1;4;Bahia;6,091;Estádio Alfredo Jaconi
08/11/2024;21:30;16;Palmeiras;1–0;13;Grêmio;33,67;Allianz Parque
09/11/2024;21:00;18;São Paulo;2–1;1;Athletico Paranaense;34,777;Estádio do Morumbi
13/11/2024;20:00;10;Flamengo;0–0;3;Atlético Mineiro;63,441;Estadio Jornalista Mário Filho
16/11/2024;18:30;1;Athletico Paranaense;1–0;3;Atlético Mineiro;40,935;Ligga Arena
20/11/2024;11:00;6;Corinthians;2–1;8;Cruzeiro;46,056;Neo Química Arena
20/11/2024;16:30;1;Athletico Paranaense;2–0;2;Atlético Goianiense;42,177;Ligga Arena
20/11/2024;16:30;17;Red Bull Bragantino;1–1;18;São Paulo;9,017;Estádio Nabi Abi Chedid
20/11/2024;16:30;7;Criciúma;0–1;20;Vitória;12,123;Estádio Heriberto Hülse
20/11/2024;18:00;4;Bahia;1–2;16;Palmeiras;36,445;Itaipava Arena Fonte Nova
20/11/2024;18:00 (19:00);9;Cuiabá;1–2;10;Flamengo;12,891;Arena Pantanal
20/11/2024;19:00;13;Grêmio;2–2;15;Juventude;40,426;Arena do Grêmio
21/11/2024;20:00;19;Vasco da Gama;0–1;14;Internacional;17,339;Estádio Club de Regatas Vasco da Gama
20/11/2024;21:30;3;Atlético Mineiro;0–0;5;Botafogo (RJ);;Estádio Raimundo Sampaio
23/11/2024;19:30;2;Atlético Goianiense;0–1;16;Palmeiras;11,216;Estádio Antônio Accioly
23/11/2024;19:30;5;Botafogo (RJ);1–1;20;Vitória;35,491;Estádio Nilton Santos
23/11/2024;19:30;15;Juventude;1–1;9;Cuiabá;6,932;Estádio Alfredo Jaconi
22/11/2024;21:30;11;Fluminense;2–2;12;Fortaleza;37,969;Estadio Jornalista Mário Filho
24/11/2024;16:00;4;Bahia;1–1;1;Athletico Paranaense;26,307;Itaipava Arena Fonte Nova
24/11/2024;16:00;14;Internacional;4–1;17;Red Bull Bragantino;41,762;Estádio José Pinheiro Borba
24/11/2024;16:00;6;Corinthians;3–1;19;Vasco da Gama;46,083;Neo Química Arena
23/11/2024;21:30;18;São Paulo;2–2;3;Atlético Mineiro;36,783;Estádio do Morumbi
26/11/2024;19:00;11;Fluminense;0–0;7;Criciúma;41,24;Estadio Jornalista Mário Filho
26/11/2024;20:00;12;Fortaleza;0–0;10;Flamengo;57,624;Estádio Castelão
26/11/2024;21:30;3;Atlético Mineiro;2–3;15;Juventude;;Estádio Raimundo Sampaio
26/11/2024;21:30;16;Palmeiras;1–3;5;Botafogo (RJ);31,753;Allianz Parque
27/11/2024;21:00;8;Cruzeiro;1–1;13;Grêmio;21,009;Estádio Governador Magalhães Pinto
30/11/2024;18:30 (19:30);9;Cuiabá;1–2;4;Bahia;2,613;Arena Pantanal
30/11/2024;19:30;7;Criciúma;2–4;6;Corinthians;18,075;Estádio Heriberto Hülse
01/12/2024;16:00;13;Grêmio;2–1;18;São Paulo;39,197;Arena do Grêmio
01/12/2024;16:00;10;Flamengo;3–2;14;Internacional;56,571;Estadio Jornalista Mário Filho
01/12/2024;18:30;20;Vitória;2–0;12;Fortaleza;29,09;Estádio Manoel Barradas
01/12/2024;18:30;17;Red Bull Bragantino;1–1;8;Cruzeiro;6,223;Estádio Nabi Abi Chedid
01/12/2024;18:30;1;Athletico Paranaense;1–1;11;Fluminense;41,375;Ligga Arena
30/11/2024;21:30;19;Vasco da Gama;2–2;2;Atlético Goianiense;18,27;Estádio Club de Regatas Vasco da Gama
03/12/2024;20:00;6;Corinthians;3–0;4;Bahia;46,263;Neo Química Arena
04/12/2024;19:00;19;Vasco da Gama;2–0;3;Atlético Mineiro;17,074;Estádio Club de Regatas Vasco da Gama
04/12/2024;20:00;7;Criciúma;0–3;10;Flamengo;18,849;Estádio Heriberto Hülse
04/12/2024;20:00;20;Vitória;1–1;13;Grêmio;26,842;Estádio Manoel Barradas
04/12/2024;20:00;18;São Paulo;1–2;15;Juventude;31,442;Estádio do Morumbi
05/12/2024;20:00;11;Fluminense;1–0;9;Cuiabá;59,73;Estadio Jornalista Mário Filho
05/12/2024;20:00;1;Athletico Paranaense;1–2;17;Red Bull Bragantino;41,626;Ligga Arena
04/12/2024;21:30;2;Atlético Goianiense;3–1;12;Fortaleza;3,157;Estádio Antônio Accioly
04/12/2024;21:30;14;Internacional;0–1;5;Botafogo (RJ);37,628;Estádio José Pinheiro Borba
04/12/2024;21:30;8;Cruzeiro;1–2;16;Palmeiras;;Estádio Governador Magalhães Pinto
08/12/2024;15:00 (16:00);9;Cuiabá;1–2;19;Vasco da Gama;7,03;Arena Pantanal
08/12/2024;16:00;5;Botafogo (RJ);2–1;18;São Paulo;41,986;Estádio Nilton Santos
08/12/2024;16:00;10;Flamengo;2–2;20;Vitória;67,113;Estadio Jornalista Mário Filho
08/12/2024;16:00;17;Red Bull Bragantino;5–1;7;Criciúma;9,11;Estádio Nabi Abi Chedid
08/12/2024;16:00;12;Fortaleza;3–0;14;Internacional;51,386;Estádio Castelão
08/12/2024;16:00;13;Grêmio;0–3;6;Corinthians;42,945;Arena do Grêmio
08/12/2024;16:00;16;Palmeiras;0–1;11;Fluminense;34,571;Allianz Parque
08/12/2024;16:00;4;Bahia;2–0;2;Atlético Goianiense;48,476;Itaipava Arena Fonte Nova
08/12/2024;16:00;15;Juventude;0–1;8;Cruzeiro;13,518;Estádio Alfredo Jaconi
08/12/2024;16:00;3;Atlético Mineiro;1–0;1;Athletico Paranaense;;Arena MRV
